2. Age,3. Occupation / Role,4. Where do you usually face this problem?,1. Write the problem in one line.,2. Explain the problem in detail.,3. Who faces this problem?,4. How do you currently manage or solve this problem?,1. How often do you face this problem?,2. How serious is this problem for you?,3. What does this problem mainly cause?,4. Have you tried any existing solution before?,"1. If someone built a solution for this, what should it definitely do?","2. Do you think a physical product, device, or tool could help solve this problem?",3. What type of solution do you imagine could help?
18,Student,Travel / Transport,Local train crowd,too much gardi man,commuters,AC train,Daily,5,"Time waste, Extra effort, Stress / frustration, Safety risk, Health issue, Damage to things",no. expensive,less crowded trains,Not sure,Not sure
21,Student ,Travel / Transport,"Bus tracking not available for local buses.(NMMT,etc).","Improper time management,  increase in travel time.",Local public / Commuters ,Waiting on a bus stop for an indefinite Amount of time (can exceed upto 25-30 mins not an acceptable delay during travelling).,Daily,4,"Time waste, Extra effort, Stress / frustration, Safety risk","Google map timings but they are often old,not updated doesn't account for traffic and delay.",Accurate gps bus tracking with estimated time to reach a stop/destination. ,Yes,"Small physical tool/product, Sensor-based device, Tracking/monitoring system"
38,Structural Engineer ,Travel / Transport,Vehicle AC Temperature Control Automation ,"In many cars, the AC can only be turned ON/OFF manually. During long drives, cabin temperature keeps changing due to weather, sunlight, traffic, or night conditions. The driver must repeatedly monitor comfort and press the AC button to maintain a comfortable temperature.
This causes distraction while driving and often results in the cabin becoming either too cold or too warm before the driver reacts.
A simple low-cost solution is needed that can monitor cabin temperature and automatically toggle the AC ON/OFF around user-defined temperature limits (for example, turn AC ON above 27°C and OFF below 22°C) without requiring modification of the vehicle's existing electronics.",All,Manually done,Daily,2,Extra effort,"Yes. I explored manually adjusting the AC during driving and also attempted a prototype using an Arduino Nano, temperature sensor, and servo motor to automatically press the AC button based on cabin temperature. However, the solution is not yet reliable enough for daily use and requires better integration and mechanical design.",It should work and reliable ,Yes,"Sensor-based device, Automation system"
18,Student,College / School,I am unable to wake up on time,"I dont hear my alarm often, its irritating ",Me,No proper solution ,Daily,5,"Time waste, Extra effort",Nope,Interactive way of waking up,Maybe,"Small physical tool/product, Reminder/alert system"
18,Student,Travel / Transport,I face the issue of bad ventilation in local trains,Small spaces make me uncomfortable it happens regularly. I find it difficult as i am claustrophobic,All the people who travel via local trains,Wait for empty trains or ac trains,A few times a week,4,"Safety risk, Health issue",No,Better ventillations or ac,Yes,"Automation system, Better design/organization"
19,Student ,College / School,Forget to do important things,"Forget to do homework, assignment, or any important to bring for next lecture ",Me,By telling the clg friends to remind me again after clg,A few times a week,4,"Extra effort, Stress / frustration",No,It should remind me important things which I tend to forget ,Maybe,"Reminder/alert system, Tracking/monitoring system, Software/app/website"
19,Student,Shop / Business,I often forget to keep the tracks abt the works done or pending nt is clean systematic or organised ,I often forget to keep the tracks abt the works done or pending nt is clean systematic or organised ,Maybe all ,Writing down,A few times a week,3,"Time waste, Extra effort, Stress / frustration, Confusion / miscommunication",Yes,"Smthing that keeps all the records and tracks everywhere with less effort 
Like an ai driven system that is like alexa 
Where we give the command and it helps us ",Maybe,"Small physical tool/product, Sensor-based device, Tracking/monitoring system, Software/app/website"
18,Student,Home,Studying at home after a long tiring day at college ,College is exhausting and travelling too later coming home and studying is tiring ,Students,Trying different techniques ,A few times a week,3,"Time waste, Extra effort, Stress / frustration",Trying different techniques ,Reducing exhaustion ,Not sure,Not sure
18,Medical Student ,College / School,I often procrastinate important tasks,"Lack of motivation,anxiety,burnout",Students,Try to be more focused and make a planner to ensure that the amount of time wasted is reduced,A few times a week,3,"Extra effort, Stress / frustration",Yes....I tried to make a schedule and stuck to it....helped me a couple of times,It will reduce the amount of time wasted and reduce stress,Maybe,Reminder/alert system
18,Student ,College / School,I Can't focus while studying ,.,Students,I try to keep a fixed time for it ,Daily,4,Extra effort,I have tried various studying methods ,Some method which makes ut fun to study,No,Reminder/alert system
